ID;Requirement;Citation;EARS;Classification;Type;Notes / Actions needed
alt. 30b;WHERE the product is sold in the EEA the Electric Coffee Mug Heater SHALL bear CE marking.;"""CE Marking: Indicates conformity with health, safety, and environmental protection standards for products sold within the European Economic Area (EEA).""";Optional;Explicit;Non-Functional;
31;The Electric Coffee Mug Heater SHALL obtain RoHS Compliance.;"""RoHS Compliance: Ensures the restriction of hazardous substances in electrical and electronic equipment, aligning with environmental sustainability goals.""";Ubiquitous;Explicit;Non-Functional;
32;The Electric Coffee Mug Heater's design SHALL use sustainable materials.;"""Environmental considerations should be integral to the product's design, reflecting the values of the environmentally conscious consumer segment. This includes using sustainable materials, energy-efficient operation, and eco-friendly packaging.""";Ubiquitous;Ambiguous,Unverifiable;Non-Functional;"Define what constitutes ""sustainable materials"" to make this requirement explicit and verifiable."
33;The Electric Coffee Mug Heater SHALL operate in an energy-efficient manner.;"""Environmental considerations should be integral to the product's design, reflecting the values of the environmentally conscious consumer segment. This includes using sustainable materials, energy-efficient operation, and eco-friendly packaging.""";Ubiquitous;Ambiguous,Unverifiable,Incomplete;Non-Functional;"Define what constitutes ""energy-efficient operation"" and provide measurable criteria to make this requirement explicit and verifiable."
34;The Electric Coffee Mug Heater's packaging SHALL be eco-friendly.;"""Environmental considerations should be integral to the product's design, reflecting the values of the environmentally conscious consumer segment. This includes using sustainable materials, energy-efficient operation, and eco-friendly packaging.""";Ubiquitous;Implicit,Unverifiable,Incomplete;Non-Functional;"Define what constitutes ""eco-friendly packaging"" to make this requirement explicit and verifiable."
alt. 34;The Electric Coffee Mug Heater SHALL use eco‑friendly packaging.;"""Environmental considerations should be integral to the product's design, reflecting the values of the environmentally conscious consumer segment. This includes using sustainable materials, energy-efficient operation, and eco-friendly packaging.""";Ubiquitous;Implicit,Unverifiable,Incomplete;Non-Functional;"Define what constitutes ""eco-friendly packaging"" to make this requirement explicit and verifiable."
35;The Electric Coffee Mug Heater SHALL allow users to adjust the target beverage temperature in 1 °C increments.;"""The temperature can be set in 1°C increments, with a maximum of 90 °C"" & ""Users can then increase or decrease the temperature in 1°C increments up to the maximum of 85°C. Pressing the Select button confirms the desired temperature""";Ubiquitous;Explicit;Functional;
36;The Electric Coffee Mug Heater SHALL provide intuitive controls.;"""The Electric Coffee Mug Heater is designed with user-friendly operation in mind, featuring intuitive controls and a clear display interface.""";Ubiquitous;Ambiguous;Non-Functional;Action needed: Define intuitive controls
37;The Electric Coffee Mug Heater SHALL provide a clear display interface.;"""The Electric Coffee Mug Heater is designed with user-friendly operation in mind, featuring intuitive controls and a clear display interface.""";Ubiquitous;Ambiguous;Non-Functional;Action needed: Define clear display interface
38;The Electric Coffee Mug Heater SHALL allow users to set the target beverage temperature to a maximum of 90 °C;"""The temperature can be set in 1°C increments, with a maximum of 90 °C""  &  ""Users can then increase or decrease the temperature in 1°C increments up to the maximum of 85°C. Pressing the Select button confirms the desired temperature""";Ubiquitous;Contradictory;Functional;Action needed: Two sections of product description offers different maximun temperature settings
alt. 35, 38b;The Electric Coffee Mug Heater SHALL allow users to set the target beverage temperature in 1 °C increments up to 90 °C.;"""The temperature can be set in 1°C increments, with a maximum of 90 °C""  &  ""Users can then increase or decrease the temperature in 1°C increments up to the maximum of 85°C. Pressing the Select button confirms the desired temperature""";Ubiquitous;Contradictory;Functional;Action needed: Two sections of product description offers different maximun temperature settings
39;The Electric Coffee Mug Heater SHALL allow users to adjust the auto shut-off timer in 1-minute increments.;"""The auto shut-off timer can be adjusted in 1-minute increments.""";Ubiquitous;Explicit;Functional;
40;The Electric Coffee Mug Heater SHALL allow users to set the auto shut-off timer from 1 minute to 90 minutes.;"""The auto shut-off timer can be adjusted in 1-minute increments, ranging from a minimum of 1 minute to a maximum of 90 minutes.""";Ubiquitous;Explicit;Functional;
alt. 39, 40b;The Electric Coffee Mug Heater SHALL allow setting the auto shut-off time from 1 to 90 minutes in 1-minute increments.;"""The auto shut-off timer can be adjusted in 1-minute increments, ranging from a minimum of 1 minute to a maximum of 90 minutes.""";Ubiquitous;Explicit;Functional;
41;WHEN the user performs a short press outside a menu, the Electric Coffee Mug Heater SHALL enter edit mode.;"""A short press allows the user to enter edit mode or confirm selections within menus.""";Event-driven;Incomplete, Ambiguous;Functional;How to test short press. What is outside a menu?
42;WHEN the user performs a short press inside a menu, the Electric Coffee Mug Heater SHALL confirm the current selection;"""A short press allows the user to enter edit mode or confirm selections within menus.""";Event-driven;Incomplete, Ambiguous;Functional;How to test short press. What is inside a menu?
alt. 41, 42b;WHEN the Select button is short pressed the Electric Coffee Mug Heater SHALL enter edit mode or confirm a selection.;"""A short press allows the user to enter edit mode or confirm selections within menus.""";Event-driven;Incomplete, Ambiguous;Functional;"How to test short press. Use of ""or"" without specifying the context (inside vs. outside menu)"
43;WHEN the heater is on AND the Select button is pressed for 3 seconds, the Electric Coffee Mug Heater SHALL power down.;"""A long press of 3 seconds powers down the heater.""";Event-driven;Explicit;Functional;
44;WHILE the heater is off AND WHEN the Select button is pressed for 2 seconds, the Electric Coffee Mug Heater SHALL power on.;"""When the device is off, pressing and holding for 2 seconds powers it on.""";Complex;Explicit;Functional;
alt. 44b;WHEN the device is off AND the Select button is held for 2 seconds the Electric Coffee Mug Heater SHALL power on.;"""When the device is off, pressing and holding for 2 seconds powers it on.""";Complex;Explicit;Functional;
45;WHILE the device is in normal operation mode, WHEN the user performs a short press on the Left or Right button, the Electric Coffee Mug Heater SHALL change the displayed value.;"""A short press of either button changes the displayed value or change the setting value.""";Complex;Ambiguous;Functional;Action needed: Define short press
46;WHILE the device is in settings mode, WHEN the user performs a short press on the Left or Right button, the Electric Coffee Mug Heater SHALL change the setting value.;"""A short press of either button changes the displayed value or enters setting display.""";Complex;Ambiguous;Functional;Action needed: Define short press
47;WHEN the Left and Right buttons are pressed simultaneously for 3 seconds, the Electric Coffee Mug Heater SHALL activate the child lock feature.;"""A long press of 3 seconds of both Left and Right buttons simultaneously activates the child lock feature.""";Event-driven;Explicit;Functional;
48;WHILE the Electric Coffee Mug Heater is in normal operation mode, the display SHALL show the actual value of the last active setting.;"""If the last adjustment was to the beverage temperature, the estimated current beverage temperature is displayed."", “During normal operation, the display shows the actual value of the last active setting and indicates the current operational mode (e.g., Heating, Standby).”, “If the last adjustment was to the auto shut-off time, the remaining time until shut-off is s";State-driven;Explicit;Functional;
alt. 48b-1;WHILE in normal operation AND the last active setting is the beverage temperature, the beverage system SHALL display the estimated current beverage temperature.;"""If the last adjustment was to the beverage temperature, the estimated current beverage temperature is displayed.""";State-driven;Explicit;Functional;
alt. 48b-2;WHILE in normal operation AND the last active setting is the auto shut-off time, the Electric Coffee Mug Heater SHALL display the remaining time until shut-off.;"""If the last adjustment was to the auto shut-off time, the remaining time until shut-off is shown.""";State-driven;Explicit;Functional;
49;The Electric Coffee Mug Heater SHALL have the capability to estimate the beverage temperature in the container.;"""If the last adjustment was to the beverage temperature, the estimated current beverage temperature is displayed.""";Ubiquitous;Explicit;Functional;
50;WHILE the Electric Coffee Mug Heater is in settings mode, the Left and Right buttons SHALL allow the user to toggle between adjusting the beverage temperature and the auto shut-off time.;"""The Left and Right buttons are used to toggle between adjusting the beverage temperature and the auto shut-off time.""";State-driven;Explicit;Functional;
51;"WHILE the Electric Coffee Mug Heater is adjusting the beverage temperature, the display SHALL show ""Temp"" and the current set value.";"""When adjusting the beverage temperature, the display shows 'Temp' along with the current set value.""";State-driven;Explicit;Functional;
52;WHILE the Electric Coffee Mug Heater is in temperature edit mode, pressing the Select button SHALL confirm the desired beverage temperature.;"""Pressing the Select button confirms the desired temperature.""";State-driven;Explicit;Functional;
53;"WHILE the Electric Coffee Mug Heater is adjusting the auto shut-off time, the display SHALL show ""Time"" and the current set value.";"""For adjusting the auto shut-off time, the display shows 'Time' along with the current set value.""";State-driven;Explicit;Functional;
alt. 53b;"WHILE adjusting the auto shut-off time the Electric Coffee Mug Heater SHALL display ""Time"" and the current set value.";"""For adjusting the auto shut-off time, the display shows 'Time' along with the current set value.""";State-driven;Explicit;Functional;
54;WHILE the Electric Coffee Mug Heater is in auto shut-off time edit mode, pressing the Select button SHALL confirm the selection of the auto shut-off time.;"""Pressing the Select button confirms the selection.""";State-driven;Explicit;Functional;
55;IF user activity is not detected for 20 seconds WHILE in edit mode, the Electric Coffee Mug Heater SHALL automatically exit edit mode.;"""If user activity is not detected for **20 seconds** while the user is in edit mode of either of the previously mentioned parameters, the device automatically exits to normal operation mode and starts displaying the actual values without any additional indicators.""";Complex;Explicit;Functional;Combination of EARS syntaxes: unwanted + state driven template
alt. 55b;WHILE in edit mode IF no user activity for 20 seconds THEN the Electric Coffee Mug Heater SHALL exit to normal operation and display actual values.;"""If user activity is not detected for **20 seconds** while the user is in edit mode of either of the previously mentioned parameters, the device automatically exits to normal operation mode and starts displaying the actual values without any additional indicators.""";Complex;Explicit;Functional;Uses a valid Complex EARS structure combining WHILE and IF…THEN patterns with a SHALL response.
56;WHEN the Electric Coffee Mug Heater is within one minute of the scheduled shut-off, the display SHALL show a countdown.;"""When the device is within one minute of the scheduled shut-off, the display will show a countdown.""";Event-driven;Explicit;Functional;
57;WHILE the Electric Coffee Mug Heater is in auto shut-off countdown, pressing the Select button SHALL cause the Electric Coffee Mug Heater to extend the auto shut-off time by 15 minutes.;"""When this happens, users can press the Select button to extend the auto shut-off time by an additional **15 minutes**.""";State-driven;Explicit;Functional;
alt. 57b;WHEN a countdown is displayed AND the Select button is pressed the Electric Coffee Mug Heater SHALL extend the auto shut-off time by 15 minutes.;"""When this happens, users can press the Select button to extend the auto shut-off time by an additional **15 minutes**.""";Event-driven;Explicit;Functional;
58;The Electric Coffee Mug Heater SHALL continuously monitor the heating surface temperature.;"""The device continuously monitors the heating surface temperature to ensure it does not exceed safe levels.""";Ubiquitous;Explicit;Functional;
alt. 58b;WHILE operating the Electric Coffee Mug Heater SHALL monitor heating surface temperature continuously.;"""The device continuously monitors the heating surface temperature to ensure it does not exceed safe levels.""";State-driven;Explicit;Functional;
59;IF an over-temperature condition is detected, THEN the Electric Coffee Mug Heater SHALL initiate protective measures including automatic shutdown.;"""In the event of over-temperature conditions or detection of an empty mug, the device will initiate protective measures, including automatic shutdown..""";Unwanted Behavior;Ambiguous;Functional;This requirement is ambiguous because it does not explicitly describe what the protective measures are, besides automatic shutdown. Over temerature condition is not defined. Clarification is needed to define all the protective measures.
60;IF an empty mug is detected, THEN the Electric Coffee Mug Heater SHALL initiate protective measures including automatic shutdown.;"""In the event of over-temperature conditions or detection of an empty mug, the device will initiate protective measures, including automatic shutdown.""";Unwanted Behavior;Ambiguous;Functional;This requirement is ambiguous because it does not explicitly describe what the protective measures are, besides automatic shutdown. Clarification is needed to define all the protective measures.
61;WHEN the Electric Coffee Mug Heater performs a safety-related action, the display SHALL provide a notification or error message to inform the user.;"""The display will provide notifications or error messages to inform the user of any safety-related actions taken.""";Event-driven;Ambiguous, Incomplete;Functional;Action needed: Seek for clarification. This requirement is not defining how long message should show. Shall it be dismissed somehow to get rid of it or shall it be all the time visible when conditions present
62;"WHILE the Electric Coffee Mug Heater is in settings (edit) mode, the display SHALL show ""Edit"" to inform the user.";"""When the device is in settings (edit) mode, an 'Edit' indicator appears to inform the user.""";State-driven;Explicit;Functional;
alt. 62b;"WHILE in settings mode the Electric Coffee Mug Heater SHALL display an ""Edit"" indicator.";"""- Settings Mode Indicators: When the device is in settings (edit) mode, an 'Edit' indicator appears to inform the user.""";State-driven;Explicit;Functional;
63;"WHILE the Electric Coffee Mug Heater is in temperature adjustment or display mode, the display SHALL show ""Temp"" text in it.";"""Temp: Indicates that the user is adjusting the beverage temperature setting."" & - 'Temp': Displays the estimated current beverage temperature.";State-driven;Explicit;Functional;
alt. 63b-1;"WHILE showing the beverage temperature the Electric Coffee Mug Heater SHALL show the ""Temp"" label.";Temp: Indicates that the user is adjusting the beverage temperature setting. & - 'Temp': Displays the estimated current beverage temperature.;State-driven;Explicit;Functional;
alt. 63b-2;"WHILE adjusting the beverage temperature setting the Electric Coffee Mug Heater SHALL indicate ""Temp"".";Temp: Indicates that the user is adjusting the beverage temperature setting. & - 'Temp': Displays the estimated current beverage temperature.;State-driven;Explicit;Functional;
64;"WHILE the Electric Coffee Mug Heater is in auto shut-off time adjustment the display SHALL show ""Time"" text in it.";"""Time: Indicates that the user is adjusting the auto shut-off time.""";State-driven;Explicit;Functional;
alt. 64b;"WHILE adjusting the auto shut-off time setting the Electric Coffee Mug Heater SHALL indicate ""Time"".";Time: Indicates that the user is adjusting the auto shut-off time.;State-driven;Explicit;Functional;
65;WHILE operating the Electric Coffee Mug Heater SHALL indicate the current mode;"""The display indicates the current mode of the device, such as 'Heating,' 'Standby,' or 'Edit Mode,' to keep the user informed of the device's status.""";State-driven;Explicit;Functional;
66;WHILE the child lock is activated the Electric Coffee Mug Heater SHALL illuminate the child lock indicator in all display modes.;"""Child Lock Indicator: Illuminates when the child lock is activated, visible in all display modes.""";State-driven;Explicit;Functional;
67;The Electric Coffee Mug Heater's Select Button SHALL be centrally located;"""The Select Button is centrally located for easy access and primary interactions.""";Ubiquitous;Explicit;Non-Functional;
68;The Electric Coffee Mug Heater's Left Button SHALL be positioned to the left of the Select button;"""The Left Button is positioned to the left of the Select button, used for decreasing values or navigating left.""";Ubiquitous;Explicit;Non-Functional;
69;The Electric Coffee Mug Heater's Right Button SHALL be positioned to the right of the Select button;"""The Right Button is positioned to the right of the Select button, used for increasing values or navigating right.""";Ubiquitous;Explicit;Non-Functional;
70;WHILE in normal operation the Electric Coffee Mug Heater SHALL indicate what value is shown on screen.;"""- Actual Value Display: In normal operation mode, the display shows the actual value of the last active setting and the current operational mode. Display shall include indication what value is shown currently in the screen""";State-driven;Ambiguous, Incomplete,;Functional;
71;The Electric Coffee Mug Heater SHALL provide intuitive controls and a clear display.;"""The Electric Coffee Mug Heater is designed with user-friendly operation in mind, featuring intuitive controls and a clear display interface.""";Ubiquitous;Unverifiable;Functional;
72;The Electric Coffee Mug Heater SHALL accommodate a mug base diameter of 75 mm.;"""... it stands at 110 mm tall with a 75 mm base."" & ""The Electric Coffee Mug Heater shall be compatible with the Cozy Coffee Mug.""";Ubiquitous;Explicit;Non-Functional;Requirement is offering valid specifying details to REG ID 7 which are discoverable from product description
73;The Electric Coffee Mug Heater SHALL provide clearance for a handle that starts 20 mm from the bottom and extends 35 mm.;"""The handle extends 35 mm from the mug's side, starting 20 mm from the bottom…"" & ""The Electric Coffee Mug Heater shall be compatible with the Cozy Coffee Mug.""";Ubiquitous;Explicit;Non-Functional;Requirement is offering valid specifying details to REG ID 7 which are discoverable from product description
74;The Electric Coffee Mug Heater SHALL support the Cozy Coffee Mug filled to 350 ml without loss of stability.;"""The mug has a capacity of 350 ml…"" & ""- Device Stability: The design must ensure that the Cozy Coffee Mug fits securely on the heater...""";Ubiquitous;Ambiguous,Unverifiable,Incomplete;Non-Functional;Requirement is offering valid specifying details to REG ID 7 which are discoverable from product description
75;The Electric Coffee Mug Heater SHALL transfer heat efficiently to the Cozy Coffee Mug metallic casing.;"""Constructed with a high-quality metallic casing, the Cozy Coffee Mug ensures optimal thermal conductivity, allowing efficient heat transfer from the heater to the beverage.""";Ubiquitous;Ambiguous,Unverifiable,Incomplete;Non-Functional;Requirement is offering valid specifying details to REG ID 7 which are discoverable from product description
76;WHEN any operational fault is detected the Electric Coffee Mug Heater SHALL show an error code or message.;"""- Error Messages: The display will show error codes or messages if any operational faults are detected, such as over-temperature conditions or empty mug detection.""";Event-driven;Ambiguous,Unverifiable,Incomplete;Functional;"The term ""any operational fault"" is undefined and broad, introducing ambiguity and likely incompleteness/unverifiability"
77;WHILE operating the Electric Coffee Mug Heater SHALL maintain the beverage at the user-set target temperature.;"""... a device designed to maintain beverages at optimal drinking temperatures over extended periods."" & ""Target Beverage Temperature: The temperature can be set...""";State-driven;Ambiguous,Unverifiable,Incomplete;Functional;Ambiguous is appropriate because “maintain” lacks tolerance and duration, and “WHILE operating” is an imprecise state description.
78;WHILE in menus the Electric Coffee Mug Heater SHALL use the Left button to decrease values or navigate left.;"""- The Left Button is positioned to the left of the Select button, used for decreasing values or navigating left.""";State-driven;Ambiguous, Incomplete;Functional;What means navigating left?
79;WHILE in menus the Electric Coffee Mug Heater SHALL use the Right button to increase values or navigate right.;"""- The Right Button is positioned to the right of the Select button, used for increasing values or navigating right.""";State-driven;Ambiguous, Incomplete;Functional;What means navigating right?
